Bill #,Store Name,Shop ID,.myshopify.com URL,Charge category,Description,Amount,Currency,Start of billing cycle,End of billing cycle,Date,Order,Rate,App,Original amount,Original currency,Exchange rate
526239611,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2026-05-07,2026-06-06,2026-05-07,"","","",9.0,USD,1.0
512432988,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2026-04-07,2026-05-07,2026-04-07,"","","",9.0,USD,1.0
498702770,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2026-03-08,2026-04-07,2026-03-08,"","","",9.0,USD,1.0
484589495,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2026-02-06,2026-03-08,2026-02-06,"","","",9.0,USD,1.0
469924678,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2026-01-07,2026-02-06,2026-01-07,"","","",9.0,USD,1.0
456040293,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2025-12-08,2026-01-07,2025-12-08,"","","",9.0,USD,1.0
442052696,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2025-11-08,2025-12-08,2025-11-08,"","","",9.0,USD,1.0
428651776,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,9.0,USD,2025-10-09,2025-11-08,2025-10-09,"","","",9.0,USD,1.0
425744574,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,2.4,USD,2025-10-01,2025-10-09,2025-10-01,"","","",2.4,USD,1.0
415570564,5senses,76306874592,https://www.5sensesbeauty.com,subscription_fee,Subscription Fee,1.0,USD,2025-09-09,2025-10-09,2025-09-09,"","","",1.0,USD,1.0
